t,phase,step_idx,mask_ss,theta_s_deg,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,torso_ref_mode,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
0.010000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,0.000000000,0.000000000,0.000000000,nan,0.000000000,,2,2,-1,0
0.020000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.030000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.040000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.050000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000001,,2,2,-1,0
0.060000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,0.000000000,0.000000000,nan,0.000000003,,2,2,-1,0
0.070000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000000,-0.000000000,-0.000000000,0.000000000,nan,0.000000010,,2,2,-1,0
0.080000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000001,0.000000000,0.000000000,0.000000000,nan,0.000000034,,2,2,-1,0
0.090000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000002,-0.000000000,-0.000000000,0.000000000,nan,0.000000121,,2,2,-1,0
0.100000,DS,-1,0,0.000000000,nan,nan,nan,0.000000000,0.000000000,0.000000000,ds_hold,0.000000008,0.000000000,0.000000000,-0.000000000,nan,0.000000420,,2,2,-1,0
0.110000,SS,0,1,0.000103363,0.457021375,-1.444435897,2.471731458,-0.080429283,1.383290366,-0.406043603,planner_track,0.006741902,-0.000409052,-0.000184320,0.000028889,0.799650793,0.009167113,b,2,2,3,1
0.210000,SS,0,1,0.000486083,0.666589261,-1.297905589,3.091219269,-0.039199295,1.335510493,-0.746742062,planner_track,0.027132761,-0.000707535,-0.000243791,0.000249778,0.797373218,0.027983567,b,2,2,3,1
0.310000,SS,0,1,0.001176622,0.890059144,-1.071460363,4.265347721,-0.057453609,1.497170970,-0.796999110,planner_track,0.064316638,-0.001318523,-0.000325984,0.000517963,0.791610515,0.048450071,b,2,2,3,1
